n_empty,score,top_n,inchikey,smiles,adduct,instrument_type,identifier
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000016
10186,0.9864095353566203,3,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000017
10186,0.9203777969411496,6,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000018
10186,0.9037544038649606,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000019
10186,1.0,7,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000020
10186,0.9921701987249124,3,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000021
10186,0.9561491341840368,6,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000022
10186,0.8765586123885358,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000023
10186,0.8247332403563444,8,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000026
10186,0.9946740968311878,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000027
10186,0.9037239049309256,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000032
10186,0.8765658018377483,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000033
10186,0.8247665549975401,8,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000035
10186,0.9204196693955242,6,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000036
10186,0.9561101852299564,6,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000037
10186,0.986412810408852,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000038
10186,0.9921548710186692,2,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000039
10186,0.9946598437101988,5,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000040
10186,1.0,12,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000041
10186,0.9941274379792244,2,MBMQEIFVQACCCH,CC1CCCC(=O)CCCC=CC2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,,MassSpecGymID0000043
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000044
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000045
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000046
10186,0.998965403945363,2,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000047
10186,0.9990370612207454,3,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000048
10186,0.9941274379792244,2,MBMQEIFVQACCCH,CC1CCCC(=O)CCCC=CC2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000049
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,QTOF,MassSpecGymID0000050
10186,0.8139799731041462,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000061
10186,0.8145870603972498,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000062
10186,0.8126724153455332,19,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000063
10186,0.8291906341730588,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000064
10186,0.8293966117568067,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000065
10186,0.8125768280606307,19,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000066
10186,0.8145103005105,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000067
10186,0.8139704608508469,18,MXRJZFNJVFPSQN,C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000068
10186,1.0,2,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000069
10186,0.8447922745357395,4,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000070
10186,1.0,1,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000071
10186,0.9655016865675292,2,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000072
10186,1.0,2,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000073
10186,0.8438517592564778,4,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000074
10186,1.0,1,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000075
10186,1.0,1,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000076
10186,1.0,1,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000077
10186,0.965985833295022,3,HNMWDXUKPJZOQD,CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,[M+H]+,Orbitrap,MassSpecGymID0000078
10186,0.9875634496798084,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000079
10186,0.9506390115429668,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000080
10186,1.0,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000081
10186,0.8730476097407115,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000082
10186,1.0,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000083
10186,0.8728325600689917,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000084
10186,0.950187186570245,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000085
10186,0.9875118575593989,2,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000086
10186,1.0,1,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000087
10186,1.0,1,GJSSYQDXZLZOLR,C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,[M+H]+,Orbitrap,MassSpecGymID0000088
10186,1.0,4,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,Orbitrap,MassSpecGymID0000089
10186,1.0,1,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000090
10186,1.0,3,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000091
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000092
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000094
10186,1.0,1,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,Orbitrap,MassSpecGymID0000095
10186,1.0,4,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000096
10186,1.0,1,UQCSETXJXJTMKO,CCC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,,MassSpecGymID0000097
10186,1.0,1,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,Orbitrap,MassSpecGymID0000098
10186,1.0,4,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,Orbitrap,MassSpecGymID0000099
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000102
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000103
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000104
10186,1.0,2,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000105
10186,1.0,3,UQCSETXJXJTMKO,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+H]+,Orbitrap,MassSpecGymID0000106
10186,1.0,1,UQCSETXJXJTMKO,CCC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,[M+Na]+,Orbitrap,MassSpecGymID0000107
10186,0.1799884730943773,14,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000108
10186,0.1568444789066843,12,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000109
10186,0.2667122026023921,14,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000110
10186,0.5124517564799915,13,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000111
10186,0.9919978057166728,8,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+Na]+,Orbitrap,MassSpecGymID0000112
10186,0.5732888606160156,13,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000113
10186,0.6273865667327605,11,XGCUCFKWVIWWNW,CC1=CC2C(C(C1=O)O)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,,MassSpecGymID0000115
10186,0.9919978057166728,9,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+Na]+,Orbitrap,MassSpecGymID0000117
10186,0.157120608738487,12,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000119
10186,0.1805880554908542,14,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000120
10186,0.2679901713801544,14,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000121
10186,0.513021595607528,13,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000122
10186,0.5734255067089646,13,XGCUCFKWVIWWNW,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000123
10186,0.6273865667327605,11,XGCUCFKWVIWWNW,CC1=CC2C(C(C1=O)O)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)CO,[M+H]+,Orbitrap,MassSpecGymID0000124
10186,0.9519641534499635,11,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000125
10186,0.8650372962900413,34,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000126
10186,0.9672073527478904,9,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000127
10186,0.9618657066772316,16,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000128
10186,0.9331377475230588,21,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000129
10186,0.8652065604798428,34,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000130
10186,0.951254975117474,15,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000131
10186,0.963077716344882,10,FPNKCZKRICBAKG,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,[M+H]+,Orbitrap,MassSpecGymID0000133
10186,0.9978987771555416,2,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+H]+,Orbitrap,MassSpecGymID0000134
10186,0.8828778205149058,4,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+H]+,Orbitrap,MassSpecGymID0000135
10186,0.9624074723291496,3,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+H]+,Orbitrap,MassSpecGymID0000136
10186,0.9371786346916312,5,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+Na]+,Orbitrap,MassSpecGymID0000137
10186,0.9378245300184104,3,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+Na]+,Orbitrap,MassSpecGymID0000138
10186,0.7589555666378961,4,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+H]+,Orbitrap,MassSpecGymID0000139
10186,0.9949584136893732,4,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+H]+,Orbitrap,MassSpecGymID0000140
10186,0.9831389643169716,3,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+Na]+,Orbitrap,MassSpecGymID0000141
10186,0.9840734757624168,3,KEEQQEKLEZRLDS,CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,[M+Na]+,Orbitrap,MassSpecGymID0000142
